version,n_words,lambda,fold,testing_documents,number_spam,number_ham,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,weighted_accuracy,baseline_weighted_accuracy,TCR
lemm,50,99,3,289,48,241,279,0.9653979238754326,41,238,3,7,0.9318181818181818,0.8541666666666666,0.9872840590621994,0.9979922198519262,0.15789473684210525
lemm,50,1,4,289,48,241,271,0.9377162629757786,41,230,11,7,0.7884615384615384,0.8541666666666666,0.9377162629757786,0.8339100346020761,2.6666666666666665
lemm,50,9,4,289,48,241,274,0.9480968858131488,40,234,7,8,0.851063829787234,0.8333333333333334,0.9679747406405051,0.9783491204330176,0.676056338028169
lemm,50,99,4,289,48,241,273,0.9446366782006921,37,236,5,11,0.8809523809523809,0.7708333333333334,0.9788346509390555,0.9979922198519262,0.09486166007905138
lemm,50,1,5,290,48,242,280,0.9655172413793104,39,241,1,9,0.975,0.8125,0.9655172413793104,0.8344827586206897,4.8
lemm,50,9,5,290,48,242,278,0.9586206896551724,36,242,0,12,1.0,0.75,0.9946091644204852,0.9784366576819407,4.0
lemm,50,99,5,290,48,242,273,0.9413793103448276,31,242,0,17,1.0,0.6458333333333334,0.9992918437057402,0.9980004998750313,2.823529411764706
lemm,50,1,6,289,48,241,284,0.9826989619377162,43,241,0,5,1.0,0.8958333333333334,0.9826989619377162,0.8339100346020761,9.6
lemm,50,9,6,289,48,241,284,0.9826989619377162,43,241,0,5,1.0,0.8958333333333334,0.997744700045106,0.9783491204330176,9.6
lemm,50,99,6,289,48,241,283,0.9792387543252595,42,241,0,6,1.0,0.875,0.9997490274814907,0.9979922198519262,8.0
lemm,50,1,7,289,48,241,272,0.9411764705882353,45,227,14,3,0.7627118644067796,0.9375,0.9411764705882353,0.8339100346020761,2.823529411764706
lemm,50,9,7,289,48,241,274,0.9480968858131488,43,231,10,5,0.8113207547169812,0.8958333333333334,0.957149300857014,0.9783491204330176,0.5052631578947369
lemm,50,99,7,289,48,241,276,0.9550173010380623,40,236,5,8,0.8888888888888888,0.8333333333333334,0.9789601371983101,0.9979922198519262,0.09542743538767395
lemm,50,1,8,289,48,241,263,0.9100346020761245,39,224,17,9,0.6964285714285714,0.8125,0.9100346020761245,0.8339100346020761,1.8461538461538463
lemm,50,9,8,289,48,241,263,0.9100346020761245,38,225,16,10,0.7037037037037037,0.7916666666666666,0.9305367613892648,0.9783491204330176,0.3116883116883117
lemm,50,99,8,289,48,241,265,0.916955017301038,34,231,10,14,0.7727272727272727,0.7083333333333334,0.95800393190279,0.9979922198519262,0.04780876494023904
lemm,50,1,9,289,48,241,270,0.9342560553633218,38,232,9,10,0.8085106382978723,0.7916666666666666,0.9342560553633218,0.8339100346020761,2.526315789473684
lemm,50,9,9,289,48,241,270,0.9342560553633218,37,233,8,11,0.8222222222222222,0.7708333333333334,0.9625620207487596,0.9783491204330176,0.5783132530120482
lemm,50,99,9,289,48,241,274,0.9480968858131488,37,237,4,11,0.9024390243902439,0.7708333333333334,0.9829756974944577,0.9979922198519262,0.11793611793611794
lemm,50,1,10,291,49,242,284,0.9759450171821306,43,241,1,6,0.9772727272727273,0.8775510204081632,0.9759450171821306,0.8316151202749141,7.0
lemm,50,9,10,291,49,242,281,0.9656357388316151,40,241,1,9,0.975609756097561,0.8163265306122449,0.9919173776380781,0.9779973057925461,2.7222222222222223
lemm,50,99,10,291,49,242,277,0.9518900343642611,36,241,1,13,0.972972972972973,0.7346938775510204,0.9953346940475695,0.9979589286458116,0.4375
lemm,100,1,1,289,48,241,271,0.9377162629757786,47,224,17,1,0.734375,0.9791666666666666,0.9377162629757786,0.8339100346020761,2.6666666666666665
lemm,100,9,1,289,48,241,279,0.9653979238754326,46,233,8,2,0.8518518518518519,0.9583333333333334,0.9666215606675688,0.9783491204330176,0.6486486486486487
lemm,100,99,1,289,48,241,281,0.972318339100346,44,237,4,4,0.9166666666666666,0.9166666666666666,0.9832684987660518,0.9979922198519262,0.12
lemm,100,1,2,289,48,241,271,0.9377162629757786,44,227,14,4,0.7586206896551724,0.9166666666666666,0.9377162629757786,0.8339100346020761,2.6666666666666665
lemm,100,9,2,289,48,241,273,0.9446366782006921,44,229,12,4,0.7857142857142857,0.9166666666666666,0.9494812810103744,0.9783491204330176,0.42857142857142855
lemm,100,99,2,289,48,241,273,0.9446366782006921,42,231,10,6,0.8076923076923077,0.875,0.9583385619274689,0.9979922198519262,0.04819277108433735
lemm,100,1,3,289,48,241,278,0.9619377162629758,47,231,10,1,0.8245614035087719,0.9791666666666666,0.9619377162629758,0.8339100346020761,4.363636363636363
lemm,100,9,3,289,48,241,281,0.972318339100346,45,236,5,3,0.9,0.9375,0.9783491204330176,0.9783491204330176,1.0
lemm,100,99,3,289,48,241,281,0.972318339100346,43,238,3,5,0.9347826086956522,0.8958333333333334,0.9873677165683691,0.9979922198519262,0.15894039735099338
lemm,100,1,4,289,48,241,274,0.9480968858131488,42,232,9,6,0.8235294117647058,0.875,0.9480968858131488,0.8339100346020761,3.2
lemm,100,9,4,289,48,241,276,0.9550173010380623,42,234,7,6,0.8571428571428571,0.875,0.9688768606224628,0.9783491204330176,0.6956521739130435
lemm,100,99,4,289,48,241,276,0.9550173010380623,40,236,5,8,0.8888888888888888,0.8333333333333334,0.9789601371983101,0.9979922198519262,0.09542743538767395
lemm,100,1,5,290,48,242,284,0.9793103448275862,43,241,1,5,0.9772727272727273,0.8958333333333334,0.9793103448275862,0.8344827586206897,8.0
lemm,100,9,5,290,48,242,281,0.9689655172413794,39,242,0,9,1.0,0.8125,0.9959568733153639,0.9784366576819407,5.333333333333333
lemm,100,99,5,290,48,242,275,0.9482758620689655,33,242,0,15,1.0,0.6875,0.9993751562109473,0.9980004998750313,3.2
lemm,100,1,6,289,48,241,286,0.9896193771626297,45,241,0,3,1.0,0.9375,0.9896193771626297,0.8339100346020761,16.0
lemm,100,9,6,289,48,241,283,0.9792387543252595,42,241,0,6,1.0,0.875,0.9972936400541272,0.9783491204330176,8.0
lemm,100,99,6,289,48,241,281,0.972318339100346,40,241,0,8,1.0,0.8333333333333334,0.9996653699753211,0.9979922198519262,6.0
lemm,100,1,7,289,48,241,278,0.9619377162629758,46,232,9,2,0.8363636363636363,0.9583333333333334,0.9619377162629758,0.8339100346020761,4.363636363636363
lemm,100,9,7,289,48,241,283,0.9792387543252595,45,238,3,3,0.9375,0.9375,0.986468200270636,0.9783491204330176,1.6
lemm,100,99,7,289,48,241,281,0.972318339100346,42,239,2,6,0.9545454545454546,0.875,0.9914669343706864,0.9979922198519262,0.23529411764705882
lemm,100,1,8,289,48,241,259,0.8961937716262975,38,221,20,10,0.6551724137931034,0.7916666666666666,0.8961937716262975,0.8339100346020761,1.6
lemm,100,9,8,289,48,241,264,0.9134948096885813,37,227,14,11,0.7254901960784313,0.7708333333333334,0.9382047812359043,0.9783491204330176,0.35036496350364965
lemm,100,99,8,289,48,241,267,0.9238754325259516,34,233,8,14,0.8095238095238095,0.7083333333333334,0.9662860250135944,0.9979922198519262,0.05955334987593052
lemm,100,1,9,289,48,241,273,0.9446366782006921,40,233,8,8,0.8333333333333334,0.8333333333333334,0.9446366782006921,0.8339100346020761,3.0
lemm,100,9,9,289,48,241,278,0.9619377162629758,40,238,3,8,0.9302325581395349,0.8333333333333334,0.984212900315742,0.9783491204330176,1.3714285714285714
lemm,100,99,9,289,48,241,277,0.9584775086505191,38,239,2,10,0.95,0.7916666666666666,0.9912996193583469,0.9979922198519262,0.23076923076923078
lemm,100,1,10,291,49,242,286,0.9828178694158075,44,242,0,5,1.0,0.8979591836734694,0.9828178694158075,0.8316151202749141,9.8
lemm,100,9,10,291,49,242,283,0.9725085910652921,41,242,0,8,1.0,0.8367346938775511,0.9964077233947014,0.9779973057925461,6.125
lemm,100,99,10,291,49,242,282,0.9690721649484536,40,242,0,9,1.0,0.8163265306122449,0.9996251093431082,0.9979589286458116,5.444444444444445
lemm,500,1,1,289,48,241,277,0.9584775086505191,48,229,12,0,0.8,1.0,0.9584775086505191,0.8339100346020761,4.0
lemm,500,9,1,289,48,241,280,0.9688581314878892,48,232,9,0,0.8421052631578947,1.0,0.9634641407307172,0.9783491204330176,0.5925925925925926
lemm,500,99,1,289,48,241,279,0.9653979238754326,47,232,9,1,0.8392857142857143,0.9791666666666666,0.9626887522482955,0.9979922198519262,0.053811659192825115
lemm,500,1,2,289,48,241,280,0.9688581314878892,46,234,7,2,0.8679245283018868,0.9583333333333334,0.9688581314878892,0.8339100346020761,5.333333333333333
lemm,500,9,2,289,48,241,280,0.9688581314878892,46,234,7,2,0.8679245283018868,0.9583333333333334,0.970681100586378,0.9783491204330176,0.7384615384615385
lemm,500,99,2,289,48,241,282,0.9757785467128027,45,237,4,3,0.9183673469387755,0.9375,0.9833103275191366,0.9979922198519262,0.12030075187969924
lemm,500,1,3,289,48,241,274,0.9480968858131488,46,228,13,2,0.7796610169491526,0.9583333333333334,0.9480968858131488,0.8339100346020761,3.2
lemm,500,9,3,289,48,241,278,0.9619377162629758,46,232,9,2,0.8363636363636363,0.9583333333333334,0.9625620207487596,0.9783491204330176,0.5783132530120482
lemm,500,99,3,289,48,241,279,0.9653979238754326,46,233,8,2,0.8518518518518519,0.9583333333333334,0.9667879700506128,0.9979922198519262,0.060453400503778336
lemm,500,1,4,289,48,241,280,0.9688581314878892,47,233,8,1,0.8545454545454545,0.9791666666666666,0.9688581314878892,0.8339100346020761,5.333333333333333
lemm,500,9,4,289,48,241,278,0.9619377162629758,44,234,7,4,0.8627450980392157,0.9166666666666666,0.9697789806044204,0.9783491204330176,0.7164179104477612
lemm,500,99,4,289,48,241,280,0.9688581314878892,43,237,4,5,0.9148936170212766,0.8958333333333334,0.9832266700129669,0.9979922198519262,0.11970074812967581
lemm,500,1,5,290,48,242,285,0.9827586206896551,43,242,0,5,1.0,0.8958333333333334,0.9827586206896551,0.8344827586206897,9.6
lemm,500,9,5,290,48,242,285,0.9827586206896551,43,242,0,5,1.0,0.8958333333333334,0.9977538185085355,0.9784366576819407,9.6
lemm,500,99,5,290,48,242,281,0.9689655172413794,39,242,0,9,1.0,0.8125,0.9996250937265684,0.9980004998750313,5.333333333333333
lemm,500,1,6,289,48,241,288,0.9965397923875432,47,241,0,1,1.0,0.9791666666666666,0.9965397923875432,0.8339100346020761,48.0
lemm,500,9,6,289,48,241,287,0.9930795847750865,46,241,0,2,1.0,0.9583333333333334,0.9990978800180425,0.9783491204330176,24.0
lemm,500,99,6,289,48,241,287,0.9930795847750865,46,241,0,2,1.0,0.9583333333333334,0.9999163424938302,0.9979922198519262,24.0
lemm,500,1,7,289,48,241,283,0.9792387543252595,47,236,5,1,0.9038461538461539,0.9791666666666666,0.9792387543252595,0.8339100346020761,8.0
lemm,500,9,7,289,48,241,282,0.9757785467128027,46,236,5,2,0.9019607843137255,0.9583333333333334,0.9788001804239964,0.9783491204330176,1.0212765957446808
lemm,500,99,7,289,48,241,284,0.9826989619377162,46,238,3,2,0.9387755102040817,0.9583333333333334,0.9874932028276238,0.9979922198519262,0.1605351170568562
lemm,500,1,8,289,48,241,272,0.9411764705882353,45,227,14,3,0.7627118644067796,0.9375,0.9411764705882353,0.8339100346020761,2.823529411764706
lemm,500,9,8,289,48,241,274,0.9480968858131488,44,230,11,4,0.8,0.9166666666666666,0.9535408209291836,0.9783491204330176,0.46601941747572817
lemm,500,99,8,289,48,241,275,0.9515570934256056,42,233,8,6,0.84,0.875,0.9666206550382733,0.9979922198519262,0.06015037593984962
lemm,500,1,9,289,48,241,280,0.9688581314878892,42,238,3,6,0.9333333333333333,0.875,0.9688581314878892,0.8339100346020761,5.333333333333333
lemm,500,9,9,289,48,241,280,0.9688581314878892,42,238,3,6,0.9333333333333333,0.875,0.9851150202976996,0.9783491204330176,1.4545454545454546
lemm,500,99,9,289,48,241,279,0.9653979238754326,41,238,3,7,0.9318181818181818,0.8541666666666666,0.9872840590621994,0.9979922198519262,0.15789473684210525
lemm,500,1,10,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.9896907216494846,0.8316151202749141,16.333333333333332
lemm,500,9,10,291,49,242,287,0.9862542955326461,45,242,0,4,1.0,0.9183673469387755,0.9982038616973506,0.9779973057925461,12.25
lemm,500,99,10,291,49,242,285,0.979381443298969,43,242,0,6,1.0,0.8775510204081632,0.9997500728954055,0.9979589286458116,8.166666666666666
lemm,1000,1,1,289,48,241,278,0.9619377162629758,47,231,10,1,0.8245614035087719,0.9791666666666666,0.9619377162629758,0.8339100346020761,4.363636363636363
lemm,1000,9,1,289,48,241,279,0.9653979238754326,47,232,9,1,0.8392857142857143,0.9791666666666666,0.9630130807397383,0.9783491204330176,0.5853658536585366
lemm,1000,99,1,289,48,241,280,0.9688581314878892,46,234,7,2,0.8679245283018868,0.9583333333333334,0.9709290166060149,0.9979922198519262,0.06906474820143885
lemm,1000,1,2,289,48,241,282,0.9757785467128027,47,235,6,1,0.8867924528301887,0.9791666666666666,0.9757785467128027,0.8339100346020761,6.857142857142857
lemm,1000,9,2,289,48,241,281,0.972318339100346,46,235,6,2,0.8846153846153846,0.9583333333333334,0.9747406405051872,0.9783491204330176,0.8571428571428571
lemm,1000,99,2,289,48,241,283,0.9792387543252595,46,237,4,2,0.92,0.9583333333333334,0.9833521562722215,0.9979922198519262,0.12060301507537688
lemm,1000,1,3,289,48,241,279,0.9653979238754326,48,231,10,0,0.8275862068965517,1.0,0.9653979238754326,0.8339100346020761,4.8
lemm,1000,9,3,289,48,241,282,0.9757785467128027,47,235,6,1,0.8867924528301887,0.9791666666666666,0.975191700496166,0.9783491204330176,0.8727272727272727
lemm,1000,99,3,289,48,241,283,0.9792387543252595,47,236,5,1,0.9038461538461539,0.9791666666666666,0.9792529384699042,0.9979922198519262,0.0967741935483871
lemm,1000,1,4,289,48,241,280,0.9688581314878892,47,233,8,1,0.8545454545454545,0.9791666666666666,0.9688581314878892,0.8339100346020761,5.333333333333333
lemm,1000,9,4,289,48,241,282,0.9757785467128027,47,235,6,1,0.8867924528301887,0.9791666666666666,0.975191700496166,0.9783491204330176,0.8727272727272727
lemm,1000,99,4,289,48,241,281,0.972318339100346,46,235,6,2,0.8846153846153846,0.9583333333333334,0.9750700631614172,0.9979922198519262,0.08053691275167785
lemm,1000,1,5,290,48,242,286,0.9862068965517241,44,242,0,4,1.0,0.9166666666666666,0.9862068965517241,0.8344827586206897,12.0
lemm,1000,9,5,290,48,242,286,0.9862068965517241,44,242,0,4,1.0,0.9166666666666666,0.9982030548068284,0.9784366576819407,12.0
lemm,1000,99,5,290,48,242,285,0.9827586206896551,43,242,0,5,1.0,0.8958333333333334,0.9997917187369825,0.9980004998750313,9.6
lemm,1000,1,6,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,0.8339100346020761,inf
lemm,1000,9,6,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,0.9783491204330176,inf
lemm,1000,99,6,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,0.9979922198519262,inf
lemm,1000,1,7,289,48,241,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.986159169550173,0.8339100346020761,12.0
lemm,1000,9,7,289,48,241,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.9873703202525936,0.9783491204330176,1.7142857142857142
lemm,1000,99,7,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9916760781361108,0.9979922198519262,0.24120603015075376
lemm,1000,1,8,289,48,241,276,0.9550173010380623,47,229,12,1,0.7966101694915254,0.9791666666666666,0.9550173010380623,0.8339100346020761,3.6923076923076925
lemm,1000,9,8,289,48,241,279,0.9653979238754326,46,233,8,2,0.8518518518518519,0.9583333333333334,0.9666215606675688,0.9783491204330176,0.6486486486486487
lemm,1000,99,8,289,48,241,280,0.9688581314878892,45,235,6,3,0.8823529411764706,0.9375,0.9750282344083323,0.9979922198519262,0.08040201005025126
lemm,1000,1,9,289,48,241,283,0.9792387543252595,42,241,0,6,1.0,0.875,0.9792387543252595,0.8339100346020761,8.0
lemm,1000,9,9,289,48,241,283,0.9792387543252595,42,241,0,6,1.0,0.875,0.9972936400541272,0.9783491204330176,8.0
lemm,1000,99,9,289,48,241,283,0.9792387543252595,42,241,0,6,1.0,0.875,0.9997490274814907,0.9979922198519262,8.0
lemm,1000,1,10,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.9896907216494846,0.8316151202749141,16.333333333333332
lemm,1000,9,10,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.998652896273013,0.9779973057925461,16.333333333333332
lemm,1000,99,10,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.9998750364477027,0.9979589286458116,16.333333333333332
lemm,5000,1,1,289,48,241,282,0.9757785467128027,47,235,6,1,0.8867924528301887,0.9791666666666666,0.9757785467128027,0.8339100346020761,6.857142857142857
lemm,5000,9,1,289,48,241,283,0.9792387543252595,47,236,5,1,0.9038461538461539,0.9791666666666666,0.9792512404149752,0.9783491204330176,1.0434782608695652
lemm,5000,99,1,289,48,241,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.9875350315807085,0.9979922198519262,0.1610738255033557
lemm,5000,1,2,289,48,241,283,0.9792387543252595,47,236,5,1,0.9038461538461539,0.9791666666666666,0.9792387543252595,0.8339100346020761,8.0
lemm,5000,9,2,289,48,241,284,0.9826989619377162,47,237,4,1,0.9215686274509803,0.9791666666666666,0.9833107803337844,0.9783491204330176,1.2972972972972974
lemm,5000,99,2,289,48,241,283,0.9792387543252595,46,237,4,2,0.92,0.9583333333333334,0.9833521562722215,0.9979922198519262,0.12060301507537688
lemm,5000,1,3,289,48,241,284,0.9826989619377162,48,236,5,0,0.9056603773584906,1.0,0.9826989619377162,0.8339100346020761,9.6
lemm,5000,9,3,289,48,241,284,0.9826989619377162,48,236,5,0,0.9056603773584906,1.0,0.979702300405954,0.9783491204330176,1.0666666666666667
lemm,5000,99,3,289,48,241,286,0.9896193771626297,48,238,3,0,0.9411764705882353,1.0,0.9875768603337934,0.9979922198519262,0.16161616161616163
lemm,5000,1,4,289,48,241,285,0.986159169550173,48,237,4,0,0.9230769230769231,1.0,0.986159169550173,0.8339100346020761,12.0
lemm,5000,9,4,289,48,241,285,0.986159169550173,48,237,4,0,0.9230769230769231,1.0,0.9837618403247632,0.9783491204330176,1.3333333333333333
lemm,5000,99,4,289,48,241,285,0.986159169550173,48,237,4,0,0.9230769230769231,1.0,0.9834358137783913,0.9979922198519262,0.12121212121212122
lemm,5000,1,5,290,48,242,289,0.996551724137931,47,242,0,1,1.0,0.9791666666666666,0.996551724137931,0.8344827586206897,48.0
lemm,5000,9,5,290,48,242,289,0.996551724137931,47,242,0,1,1.0,0.9791666666666666,0.9995507637017071,0.9784366576819407,48.0
lemm,5000,99,5,290,48,242,286,0.9862068965517241,44,242,0,4,1.0,0.9166666666666666,0.9998333749895859,0.9980004998750313,12.0
lemm,5000,1,6,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,0.8339100346020761,inf
lemm,5000,9,6,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,0.9783491204330176,inf
lemm,5000,99,6,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,0.9979922198519262,inf
lemm,5000,1,7,289,48,241,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.986159169550173,0.8339100346020761,12.0
lemm,5000,9,7,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9914298601714028,0.9783491204330176,2.526315789473684
lemm,5000,99,7,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9916760781361108,0.9979922198519262,0.24120603015075376
lemm,5000,1,8,289,48,241,280,0.9688581314878892,48,232,9,0,0.8421052631578947,1.0,0.9688581314878892,0.8339100346020761,5.333333333333333
lemm,5000,9,8,289,48,241,282,0.9757785467128027,48,234,7,0,0.8727272727272727,1.0,0.9715832205683356,0.9783491204330176,0.7619047619047619
lemm,5000,99,8,289,48,241,282,0.9757785467128027,48,234,7,0,0.8727272727272727,1.0,0.9710126741121847,0.9979922198519262,0.06926406926406926
lemm,5000,1,9,289,48,241,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.9757785467128027,0.8339100346020761,6.857142857142857
lemm,5000,9,9,289,48,241,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.993234100135318,0.9783491204330176,3.2
lemm,5000,99,9,289,48,241,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.9956079809260886,0.9979922198519262,0.45714285714285713
lemm,5000,1,10,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.9896907216494846,0.8316151202749141,16.333333333333332
lemm,5000,9,10,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.998652896273013,0.9779973057925461,16.333333333333332
lemm,5000,99,10,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.9998750364477027,0.9979589286458116,16.333333333333332
lemm,all,1,1,289,48,241,284,0.9826989619377162,47,237,4,1,0.9215686274509803,0.9791666666666666,0.9826989619377162,0.8339100346020761,9.6
lemm,all,9,1,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9914298601714028,0.9783491204330176,2.526315789473684
lemm,all,99,1,289,48,241,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.9916760781361108,0.9979922198519262,0.24120603015075376
lemm,all,1,2,289,48,241,285,0.986159169550173,48,237,4,0,0.9230769230769231,1.0,0.986159169550173,0.8339100346020761,12.0
lemm,all,9,2,289,48,241,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.9873703202525936,0.9783491204330176,1.7142857142857142
lemm,all,99,2,289,48,241,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.9875350315807085,0.9979922198519262,0.1610738255033557
lemm,all,1,3,289,48,241,287,0.9930795847750865,48,239,2,0,0.96,1.0,0.9930795847750865,0.8339100346020761,24.0
lemm,all,9,3,289,48,241,287,0.9930795847750865,48,239,2,0,0.96,1.0,0.9918809201623816,0.9783491204330176,2.6666666666666665
lemm,all,99,3,289,48,241,287,0.9930795847750865,48,239,2,0,0.96,1.0,0.9917179068891956,0.9979922198519262,0.24242424242424243
lemm,all,1,4,289,48,241,285,0.986159169550173,48,237,4,0,0.9230769230769231,1.0,0.986159169550173,0.8339100346020761,12.0
lemm,all,9,4,289,48,241,286,0.9896193771626297,48,238,3,0,0.9411764705882353,1.0,0.9878213802435724,0.9783491204330176,1.7777777777777777
lemm,all,99,4,289,48,241,286,0.9896193771626297,48,238,3,0,0.9411764705882353,1.0,0.9875768603337934,0.9979922198519262,0.16161616161616163
lemm,all,1,5,290,48,242,289,0.996551724137931,47,242,0,1,1.0,0.9791666666666666,0.996551724137931,0.8344827586206897,48.0
lemm,all,9,5,290,48,242,289,0.996551724137931,47,242,0,1,1.0,0.9791666666666666,0.9995507637017071,0.9784366576819407,48.0
lemm,all,99,5,290,48,242,289,0.996551724137931,47,242,0,1,1.0,0.9791666666666666,0.9999583437473964,0.9980004998750313,48.0
lemm,all,1,6,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,0.8339100346020761,inf
lemm,all,9,6,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,0.9783491204330176,inf
lemm,all,99,6,289,48,241,289,1.0,48,241,0,0,1.0,1.0,1.0,0.9979922198519262,inf
lemm,all,1,7,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.9930795847750865,0.8339100346020761,24.0
lemm,all,9,7,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995489400090212,0.9783491204330176,4.8
lemm,all,99,7,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.995817124691513,0.9979922198519262,0.48
lemm,all,1,8,289,48,241,283,0.9792387543252595,48,235,6,0,0.8888888888888888,1.0,0.9792387543252595,0.8339100346020761,8.0
lemm,all,9,8,289,48,241,284,0.9826989619377162,48,236,5,0,0.9056603773584906,1.0,0.979702300405954,0.9783491204330176,1.0666666666666667
lemm,all,99,8,289,48,241,284,0.9826989619377162,48,236,5,0,0.9056603773584906,1.0,0.9792947672229891,0.9979922198519262,0.09696969696969697
lemm,all,1,9,289,48,241,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.9930795847750865,0.8339100346020761,24.0
lemm,all,9,9,289,48,241,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.993234100135318,0.9783491204330176,3.2
lemm,all,99,9,289,48,241,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.9956079809260886,0.9979922198519262,0.45714285714285713
lemm,all,1,10,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.9896907216494846,0.8316151202749141,16.333333333333332
lemm,all,9,10,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.998652896273013,0.9779973057925461,16.333333333333332
lemm,all,99,10,291,49,242,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.9998750364477027,0.9979589286458116,16.333333333333332
lemm_stop,50,1,1,289,48,241,275,0.9515570934256056,42,233,8,6,0.84,0.875,0.9515570934256056,0.8339100346020761,3.4285714285714284
lemm_stop,50,9,1,289,48,241,272,0.9411764705882353,35,237,4,13,0.8974358974358975,0.7291666666666666,0.9778980604420388,0.9783491204330176,0.9795918367346939
lemm_stop,50,99,1,289,48,241,269,0.9307958477508651,28,241,0,20,1.0,0.5833333333333334,0.9991634249383026,0.9979922198519262,2.4
lemm_stop,50,1,2,289,48,241,275,0.9515570934256056,44,231,10,4,0.8148148148148148,0.9166666666666666,0.9515570934256056,0.8339100346020761,3.4285714285714284
lemm_stop,50,9,2,289,48,241,272,0.9411764705882353,38,234,7,10,0.8444444444444444,0.7916666666666666,0.9670726206585476,0.9783491204330176,0.6575342465753424
lemm_stop,50,99,2,289,48,241,270,0.9342560553633218,31,239,2,17,0.9393939393939394,0.6458333333333334,0.9910068180867528,0.9979922198519262,0.22325581395348837
lemm_stop,50,1,3,289,48,241,275,0.9515570934256056,43,232,9,5,0.8269230769230769,0.8958333333333334,0.9515570934256056,0.8339100346020761,3.4285714285714284
lemm_stop,50,9,3,289,48,241,275,0.9515570934256056,39,236,5,9,0.8863636363636364,0.8125,0.9756427604871448,0.9783491204330176,0.8888888888888888
lemm_stop,50,99,3,289,48,241,275,0.9515570934256056,37,238,3,11,0.925,0.7708333333333334,0.9871167440498598,0.9979922198519262,0.15584415584415584
lemm_stop,50,1,4,289,48,241,272,0.9411764705882353,37,235,6,11,0.8604651162790697,0.7708333333333334,0.9411764705882353,0.8339100346020761,2.823529411764706
lemm_stop,50,9,4,289,48,241,271,0.9377162629757786,34,237,4,14,0.8947368421052632,0.7083333333333334,0.97744700045106,0.9783491204330176,0.96
lemm_stop,50,99,4,289,48,241,266,0.9204152249134948,29,237,4,19,0.8787878787878788,0.6041666666666666,0.9826410674697788,0.9979922198519262,0.11566265060240964
lemm_stop,50,1,5,290,48,242,270,0.9310344827586207,29,241,1,19,0.9666666666666667,0.6041666666666666,0.9310344827586207,0.8344827586206897,2.4
lemm_stop,50,9,5,290,48,242,267,0.9206896551724137,26,241,1,22,0.9629629629629629,0.5416666666666666,0.9860736747529201,0.9784366576819407,1.5483870967741935
lemm_stop,50,99,5,290,48,242,262,0.903448275862069,20,242,0,28,1.0,0.4166666666666667,0.9988336249271016,0.9980004998750313,1.7142857142857142
